Ticker;Name;Country;Type;Sector;Sub Sector;Segment
PETR3;Petrobras;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
PETR4;Petrobras;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
ABEV3;Ambev S/A;Brazil;Ação;Consumo não cíclico;Bebidas;Cervejas e refrigerantes
ITUB3;ItauUnibanco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
ITUB4;ItauUnibanco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BBDC3;Bradesco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BBDC4;Bradesco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BPAC3;Btgp Banco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BPAC5;Btgp Banco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BPAC11;Btgp Banco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
SANB3;Santander BR;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
SANB4;Santander BR;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
SANB11;Santander BR;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
RDOR3;Rede D Or;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
MGLU3;Magaz Luiza;Brazil;Ação;Consumo cíclico;Comércio;Eletrodomésticos
B3SA3;B3;Brazil;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
ITSA3;Itausa;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
ITSA4;Itausa;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BBAS3;Brasil;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
SUZB3;Suzano S.A.;Brazil;Ação;Materiais básicos;Madeira e papel;Papel e celulose
JBSS3;JBS;Brazil;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
NTCO3;Grupo Natura;Brazil;Ação;Consumo não cíclico;Produtos de uso pessoal e de limpeza;Produtos de uso pessoal
ELET3;Eletrobras;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ELET6;Eletrobras;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CSNA3;Sid Nacional;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
HAPV3;Hapvida;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
GGBR3;Gerdau;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
GGBR4;Gerdau;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
GNDI3;Intermedica;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
CMIN3;Csn Mineraca;Brazil;Ação;Materiais básicos;Mineração;Minerais metálicos
BIDI3;Banco Inter;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BIDI4;Banco Inter;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BIDI11;Banco Inter;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
RENT3;Localiza;Brazil;Ação;Consumo cíclico;Diversos;Aluguel de carros
BBSE3;BBSeguridade;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
RADL3;RaiaDrogasil;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
CSAN3;Cosan;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
CRFB3;Carrefour BR;Brazil;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
LREN3;Lojas Renner;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
BRKM3;Braskem;Brazil;Ação;Materiais básicos;Químicos;Petroquímicos
BRKM5;Braskem;Brazil;Ação;Materiais básicos;Químicos;Petroquímicos
RAIL3;Rumo S.A.;Brazil;Ação;Bens industriais;Transporte;Transporte ferroviário
LAME3;Lojas Americ;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
LAME4;Lojas Americ;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
CXSE3;Caixa Seguri;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
BTOW3;B2W Digital;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
CPFE3;CPFL Energia;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
EGIE3;Engie Brasil;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
DASA3;Dasa;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
BRDT3;Petrobras BR;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
KLBN3;Klabin S/A;Brazil;Ação;Materiais básicos;Madeira e papel;Papel e celulose
KLBN4;Klabin S/A;Brazil;Ação;Materiais básicos;Madeira e papel;Papel e celulose
KLBN11;Klabin S/A;Brazil;Ação;Materiais básicos;Madeira e papel;Papel e celulose
CCRO3;CCR SA;Brazil;Ação;Bens industriais;Transporte;Exploração de rodovias
BPAN4;Banco Pan;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
SBSP3;Sabesp;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
ALPA3;Alpargatas;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
ALPA4;Alpargatas;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
CMIG3;Cemig;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CMIG4;Cemig;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
EQTL3;Equatorial;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ASAI3;Assai;Brazil;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
BRAP3;Bradespar;Brazil;Ação;Materiais básicos;Mineração;Minerais metálicos
BRAP4;Bradespar;Brazil;Ação;Materiais básicos;Mineração;Minerais metálicos
HYPE3;Hypera;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
ENEV3;Eneva;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
BRFS3;BRF SA;Brazil;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
NEOE3;Neoenergia;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ENGI3;Energisa;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ENGI4;Energisa;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ENGI11;Energisa;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CGAS5;Comgas;Brazil;Ação;Utilidade pública;Gás;Gás
GMAT3;Grupo Mateus;Brazil;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
PSSA3;Porto Seguro;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
CPLE3;Copel;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CPLE6;Copel;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CPLE11;Copel;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
PRIO3;Petrorio;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
REDE3;Rede Energia;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
GOAU3;Gerdau Met;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
GOAU4;Gerdau Met;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
MULT3;Multiplan;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
DTEX3;Duratex;Brazil;Ação;Materiais básicos;Madeira e papel;Madeira
AZUL4;Azul S.A.;Brazil;Ação;Bens industriais;Transporte;Transporte aéreo
SULA3;Sul America;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
SULA4;Sul America;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
SULA11;Sul America;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
LWSA3;Locaweb;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
LCAM3;Locamerica;Brazil;Ação;Consumo cíclico;Diversos;Aluguel de carros
EMBR3;Embraer;Brazil;Ação;Bens industriais;Material de transporte;Material aeronáutico e de defesa
MRFG3;Marfrig;Brazil;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
BSLI4;BRB Banco;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
SMTO3;Sao Martinho;Brazil;Ação;Consumo não cíclico;Alimentos processados;Açúcar e álcool
CIEL3;Cielo;Brazil;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
GGPS3;Gps;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
ENBR3;Energias BR;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
PCAR3;P.Acucar-Cbd;Brazil;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
SIMH3;Simpar;Brazil;Ação;Financeiro;Holdings diversificadas;Holdings diversificadas
EQPA3;Eqtl Para;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
GUAR3;Guararapes;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
MDIA3;M.Diasbranco;Brazil;Ação;Consumo não cíclico;Alimentos processados;Alimentos diversos
CYRE3;Cyrela Realt;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
SLCE3;SLC Agricola;Brazil;Ação;Consumo não cíclico;Agropecuária;Agricultura
OIBR3;Oi;Brazil;Ação;Comunicações;Telecomunicações;Telecomunicações
OIBR4;Oi;Brazil;Ação;Comunicações;Telecomunicações;Telecomunicações
BRML3;BR Malls Par;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
GOLL4;Gol;Brazil;Ação;Bens industriais;Transporte;Transporte aéreo
GRND3;Grendene;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
INTB3;Intelbras;Brazil;Ação;Tecnologia da informação;Computadores e equipamentos;Computadores e equipamentos
PETZ3;Petz;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
ARZZ3;Arezzo Co;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
MRVE3;MRV;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
FLRY3;Fleury;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
SBFG3;Grupo Sbf;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
BLAU3;Blau;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
CESP3;Cesp;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CESP6;Cesp;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
COGN3;Cogna ON;Brazil;Ação;Consumo cíclico;Diversos;Serviços educacionais
QUAL3;Qualicorp;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
ALUP3;Alupar;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ALUP4;Alupar;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ALUP11;Alupar;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ALSO3;Alianscsonae;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
OMGE3;Omega Ger;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
AERI3;Aerisenergia;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
STBP3;Santos Brp;Brazil;Ação;Bens industriais;Transporte;Serviços de apoio e armazenagem
IGTA3;Iguatemi;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
IRBR3;Irbbrasil Re;Brazil;Ação;Financeiro;Previdência e seguros;Seguradoras
SOMA3;Grupo Soma;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
EZTC3;Eztec;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
ECOR3;Ecorodovias;Brazil;Ação;Bens industriais;Transporte;Exploração de rodovias
ODPV3;Odontoprev;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
CSMG3;Copasa;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
LINX3;Linx;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
SAPR3;Sanepar;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
SAPR4;Sanepar;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
SAPR11;Sanepar;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
LIGT3;Light S/A;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
BRSR3;Banrisul;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
BRSR6;Banrisul;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
AESB3;AES Brasil;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
MOVI3;Movida;Brazil;Ação;Consumo cíclico;Diversos;Aluguel de carros
MATD3;Mater Dei;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
EKTR4;Elektro;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CSED3;Cruzeiro Edu;Brazil;Ação;Consumo cíclico;Diversos;Serviços educacionais
RRRP3;3r Petroleum;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
BOAS3;Boa Vista;Brazil;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
JHSF3;JHSF Part;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
BEEF3;Minerva;Brazil;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
PGMN3;Pague Menos;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
HGTX3;Cia Hering;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Vestuário
ANIM3;Anima;Brazil;Ação;Consumo cíclico;Diversos;Serviços educacionais
HBSA3;Hidrovias;Brazil;Ação;Bens industriais;Transporte;Transporte hidroviário
CVCB3;Cvc Brasil;Brazil;Ação;Consumo cíclico;Viagens e lazer;Viagens e turismo
CASH3;Meliuz;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
AURA33;Aura 360;Brazil;Ação;Materiais básicos;Mineração;Minerais metálicos
COCE5;Coelce;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ESPA3;Espacolaser;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
RAPT3;Randon Part;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
RAPT4;Randon Part;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
BRPR3;BR Propert;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
CEAB3;Cea Modas;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
LJQQ3;Quero-Quero;Brazil;Ação;Consumo cíclico;Comércio;Produtos diversos
MODL11;Bco Modal;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
ENAT3;Enauta Part;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
ABCB4;Abc Brasil;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
RECV3;Petroreconca;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
LEVE3;Metal Leve;Brazil;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
IFCM3;Infracomm;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
FESA3;Ferbasa;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
FESA4;Ferbasa;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
CAML3;Camil;Brazil;Ação;Consumo não cíclico;Alimentos processados;Alimentos diversos
AMBP3;Ambipar;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
GEPA4;Ger Paranap;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
SEQL3;Sequoia Log;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
AGRO3;Brasilagro;Brazil;Ação;Consumo não cíclico;Agropecuária;Agricultura
EMAE4;Emae;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
LOGG3;Log Com Prop;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
JSLG3;JSL;Brazil;Ação;Bens industriais;Transporte;Transporte rodoviário
PNVL3;Dimed;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
PNVL4;Dimed;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
BKBR3;Bk Brasil;Brazil;Ação;Consumo cíclico;Hotéis e restaurantes;Restaurante e similares
BMGB4;Banco BMG;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
CEBR3;Ceb;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CEBR5;Ceb;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CEBR6;Ceb;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
SMLS3;Smiles;Brazil;Ação;Consumo cíclico;Diversos;Programas de fidelização
CURY3;Cury S/A;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
PARD3;Ihpardini;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
ELMD3;Eletromidia;Brazil;Ação;Comunicações;Mídia;Publicidade e propaganda
CLSC4;Celesc;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
JALL3;Jallesmachad;Brazil;Ação;Consumo não cíclico;Alimentos processados;Açúcar e álcool
JPSA3;Jereissati;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
FRAS3;Fras-Le;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
MYPK3;Iochp-Maxion;Brazil;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
MOSI3;Mosaico SA;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
POMO3;Marcopolo;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
POMO4;Marcopolo;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
SCAR3;Sao Carlos;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
EVEN3;Even;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
RANI3;Irani;Brazil;Ação;Materiais básicos;Madeira e papel;Papel e celulose
ROMI3;Inds Romi;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
