Ticker;Name;Type;Sector;Sub Sector;Segment
PETR3;Petrobras;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
PETR4;Petrobras;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
ABEV3;Ambev S/A;Ação;Consumo não cíclico;Bebidas;Cervejas e refrigerantes
ITUB3;ItauUnibanco;Ação;Financeiro;Intermediários financeiros;Bancos
ITUB4;ItauUnibanco;Ação;Financeiro;Intermediários financeiros;Bancos
BBDC3;Bradesco;Ação;Financeiro;Intermediários financeiros;Bancos
BBDC4;Bradesco;Ação;Financeiro;Intermediários financeiros;Bancos
BPAC3;Btgp Banco;Ação;Financeiro;Intermediários financeiros;Bancos
BPAC5;Btgp Banco;Ação;Financeiro;Intermediários financeiros;Bancos
BPAC11;Btgp Banco;Ação;Financeiro;Intermediários financeiros;Bancos
SANB3;Santander BR;Ação;Financeiro;Intermediários financeiros;Bancos
SANB4;Santander BR;Ação;Financeiro;Intermediários financeiros;Bancos
SANB11;Santander BR;Ação;Financeiro;Intermediários financeiros;Bancos
RDOR3;Rede D Or;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
MGLU3;Magaz Luiza;Ação;Consumo cíclico;Comércio;Eletrodomésticos
B3SA3;B3;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
ITSA3;Itausa;Ação;Financeiro;Intermediários financeiros;Bancos
ITSA4;Itausa;Ação;Financeiro;Intermediários financeiros;Bancos
BBAS3;Brasil;Ação;Financeiro;Intermediários financeiros;Bancos
SUZB3;Suzano S.A.;Ação;Materiais básicos;Madeira e papel;Papel e celulose
JBSS3;JBS;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
NTCO3;Grupo Natura;Ação;Consumo não cíclico;Produtos de uso pessoal e de limpeza;Produtos de uso pessoal
ELET3;Eletrobras;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ELET6;Eletrobras;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CSNA3;Sid Nacional;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
HAPV3;Hapvida;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
GGBR3;Gerdau;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
GGBR4;Gerdau;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
GNDI3;Intermedica;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
CMIN3;Csn Mineraca;Ação;Materiais básicos;Mineração;Minerais metálicos
BIDI3;Banco Inter;Ação;Financeiro;Intermediários financeiros;Bancos
BIDI4;Banco Inter;Ação;Financeiro;Intermediários financeiros;Bancos
BIDI11;Banco Inter;Ação;Financeiro;Intermediários financeiros;Bancos
RENT3;Localiza;Ação;Consumo cíclico;Diversos;Aluguel de carros
BBSE3;BBSeguridade;Ação;Financeiro;Previdência e seguros;Seguradoras
RADL3;RaiaDrogasil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
CSAN3;Cosan;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
CRFB3;Carrefour BR;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
LREN3;Lojas Renner;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
BRKM3;Braskem;Ação;Materiais básicos;Químicos;Petroquímicos
BRKM5;Braskem;Ação;Materiais básicos;Químicos;Petroquímicos
RAIL3;Rumo S.A.;Ação;Bens industriais;Transporte;Transporte ferroviário
LAME3;Lojas Americ;Ação;Consumo cíclico;Comércio;Produtos diversos
LAME4;Lojas Americ;Ação;Consumo cíclico;Comércio;Produtos diversos
CXSE3;Caixa Seguri;Ação;Financeiro;Previdência e seguros;Seguradoras
BTOW3;B2W Digital;Ação;Consumo cíclico;Comércio;Produtos diversos
CPFE3;CPFL Energia;Ação;Utilidade pública;Energia elétrica;Energia elétrica
EGIE3;Engie Brasil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
DASA3;Dasa;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
BRDT3;Petrobras BR;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
KLBN3;Klabin S/A;Ação;Materiais básicos;Madeira e papel;Papel e celulose
KLBN4;Klabin S/A;Ação;Materiais básicos;Madeira e papel;Papel e celulose
KLBN11;Klabin S/A;Ação;Materiais básicos;Madeira e papel;Papel e celulose
CCRO3;CCR SA;Ação;Bens industriais;Transporte;Exploração de rodovias
BPAN4;Banco Pan;Ação;Financeiro;Intermediários financeiros;Bancos
SBSP3;Sabesp;Ação;Utilidade pública;Água e saneamento;Água e saneamento
ALPA3;Alpargatas;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
ALPA4;Alpargatas;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
CMIG3;Cemig;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CMIG4;Cemig;Ação;Utilidade pública;Energia elétrica;Energia elétrica
EQTL3;Equatorial;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ASAI3;Assai;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
BRAP3;Bradespar;Ação;Materiais básicos;Mineração;Minerais metálicos
BRAP4;Bradespar;Ação;Materiais básicos;Mineração;Minerais metálicos
HYPE3;Hypera;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
ENEV3;Eneva;Ação;Utilidade pública;Energia elétrica;Energia elétrica
BRFS3;BRF SA;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
NEOE3;Neoenergia;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ENGI3;Energisa;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ENGI4;Energisa;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ENGI11;Energisa;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CGAS5;Comgas;Ação;Utilidade pública;Gás;Gás
GMAT3;Grupo Mateus;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
PSSA3;Porto Seguro;Ação;Financeiro;Previdência e seguros;Seguradoras
CPLE3;Copel;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CPLE6;Copel;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CPLE11;Copel;Ação;Utilidade pública;Energia elétrica;Energia elétrica
PRIO3;Petrorio;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
REDE3;Rede Energia;Ação;Utilidade pública;Energia elétrica;Energia elétrica
GOAU3;Gerdau Met;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
GOAU4;Gerdau Met;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
MULT3;Multiplan;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
DTEX3;Duratex;Ação;Materiais básicos;Madeira e papel;Madeira
AZUL4;Azul S.A.;Ação;Bens industriais;Transporte;Transporte aéreo
SULA3;Sul America;Ação;Financeiro;Previdência e seguros;Seguradoras
SULA4;Sul America;Ação;Financeiro;Previdência e seguros;Seguradoras
SULA11;Sul America;Ação;Financeiro;Previdência e seguros;Seguradoras
LWSA3;Locaweb;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
LCAM3;Locamerica;Ação;Consumo cíclico;Diversos;Aluguel de carros
EMBR3;Embraer;Ação;Bens industriais;Material de transporte;Material aeronáutico e de defesa
MRFG3;Marfrig;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
BSLI4;BRB Banco;Ação;Financeiro;Intermediários financeiros;Bancos
SMTO3;Sao Martinho;Ação;Consumo não cíclico;Alimentos processados;Açúcar e álcool
CIEL3;Cielo;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
GGPS3;Gps;Ação;Bens industriais;Serviços diversos;Serviços diversos
ENBR3;Energias BR;Ação;Utilidade pública;Energia elétrica;Energia elétrica
PCAR3;P.Acucar-Cbd;Ação;Consumo não cíclico;Comércio e distribuição;Alimentos
SIMH3;Simpar;Ação;Financeiro;Holdings diversificadas;Holdings diversificadas
EQPA3;Eqtl Para;Ação;Utilidade pública;Energia elétrica;Energia elétrica
GUAR3;Guararapes;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
MDIA3;M.Diasbranco;Ação;Consumo não cíclico;Alimentos processados;Alimentos diversos
CYRE3;Cyrela Realt;Ação;Consumo cíclico;Construção civil;Incorporações
SLCE3;SLC Agricola;Ação;Consumo não cíclico;Agropecuária;Agricultura
OIBR3;Oi;Ação;Comunicações;Telecomunicações;Telecomunicações
OIBR4;Oi;Ação;Comunicações;Telecomunicações;Telecomunicações
BRML3;BR Malls Par;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
GOLL4;Gol;Ação;Bens industriais;Transporte;Transporte aéreo
GRND3;Grendene;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
INTB3;Intelbras;Ação;Tecnologia da informação;Computadores e equipamentos;Computadores e equipamentos
PETZ3;Petz;Ação;Consumo cíclico;Comércio;Produtos diversos
ARZZ3;Arezzo Co;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
MRVE3;MRV;Ação;Consumo cíclico;Construção civil;Incorporações
FLRY3;Fleury;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
SBFG3;Grupo Sbf;Ação;Consumo cíclico;Comércio;Produtos diversos
BLAU3;Blau;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
CESP3;Cesp;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CESP6;Cesp;Ação;Utilidade pública;Energia elétrica;Energia elétrica
COGN3;Cogna ON;Ação;Consumo cíclico;Diversos;Serviços educacionais
QUAL3;Qualicorp;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
ALUP3;Alupar;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ALUP4;Alupar;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ALUP11;Alupar;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ALSO3;Alianscsonae;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
OMGE3;Omega Ger;Ação;Utilidade pública;Energia elétrica;Energia elétrica
AERI3;Aerisenergia;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
STBP3;Santos Brp;Ação;Bens industriais;Transporte;Serviços de apoio e armazenagem
IGTA3;Iguatemi;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
IRBR3;Irbbrasil Re;Ação;Financeiro;Previdência e seguros;Seguradoras
SOMA3;Grupo Soma;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
EZTC3;Eztec;Ação;Consumo cíclico;Construção civil;Incorporações
ECOR3;Ecorodovias;Ação;Bens industriais;Transporte;Exploração de rodovias
ODPV3;Odontoprev;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
CSMG3;Copasa;Ação;Utilidade pública;Água e saneamento;Água e saneamento
LINX3;Linx;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
SAPR3;Sanepar;Ação;Utilidade pública;Água e saneamento;Água e saneamento
SAPR4;Sanepar;Ação;Utilidade pública;Água e saneamento;Água e saneamento
SAPR11;Sanepar;Ação;Utilidade pública;Água e saneamento;Água e saneamento
LIGT3;Light S/A;Ação;Utilidade pública;Energia elétrica;Energia elétrica
BRSR3;Banrisul;Ação;Financeiro;Intermediários financeiros;Bancos
BRSR6;Banrisul;Ação;Financeiro;Intermediários financeiros;Bancos
AESB3;AES Brasil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
MOVI3;Movida;Ação;Consumo cíclico;Diversos;Aluguel de carros
MATD3;Mater Dei;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
EKTR4;Elektro;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CSED3;Cruzeiro Edu;Ação;Consumo cíclico;Diversos;Serviços educacionais
RRRP3;3r Petroleum;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
BOAS3;Boa Vista;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
JHSF3;JHSF Part;Ação;Consumo cíclico;Construção civil;Incorporações
BEEF3;Minerva;Ação;Consumo não cíclico;Alimentos processados;Carnes e derivados
PGMN3;Pague Menos;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
HGTX3;Cia Hering;Ação;Consumo cíclico;Tecidos vestuário e calçados;Vestuário
ANIM3;Anima;Ação;Consumo cíclico;Diversos;Serviços educacionais
HBSA3;Hidrovias;Ação;Bens industriais;Transporte;Transporte hidroviário
CVCB3;Cvc Brasil;Ação;Consumo cíclico;Viagens e lazer;Viagens e turismo
CASH3;Meliuz;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
AURA33;Aura 360;Ação;Materiais básicos;Mineração;Minerais metálicos
COCE5;Coelce;Ação;Utilidade pública;Energia elétrica;Energia elétrica
ESPA3;Espacolaser;Ação;Consumo cíclico;Comércio;Produtos diversos
RAPT3;Randon Part;Ação;Bens industriais;Material de transporte;Material rodoviário
RAPT4;Randon Part;Ação;Bens industriais;Material de transporte;Material rodoviário
BRPR3;BR Propert;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
CEAB3;Cea Modas;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
LJQQ3;Quero-Quero;Ação;Consumo cíclico;Comércio;Produtos diversos
MODL11;Bco Modal;Ação;Financeiro;Intermediários financeiros;Bancos
ENAT3;Enauta Part;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
ABCB4;Abc Brasil;Ação;Financeiro;Intermediários financeiros;Bancos
RECV3;Petroreconca;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
LEVE3;Metal Leve;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
IFCM3;Infracomm;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
FESA3;Ferbasa;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
FESA4;Ferbasa;Ação;Materiais básicos;Siderurgia e metalurgia;Siderurgia
CAML3;Camil;Ação;Consumo não cíclico;Alimentos processados;Alimentos diversos
AMBP3;Ambipar;Ação;Utilidade pública;Água e saneamento;Água e saneamento
GEPA4;Ger Paranap;Ação;Utilidade pública;Energia elétrica;Energia elétrica
SEQL3;Sequoia Log;Ação;Bens industriais;Serviços diversos;Serviços diversos
AGRO3;Brasilagro;Ação;Consumo não cíclico;Agropecuária;Agricultura
EMAE4;Emae;Ação;Utilidade pública;Energia elétrica;Energia elétrica
LOGG3;Log Com Prop;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
JSLG3;JSL;Ação;Bens industriais;Transporte;Transporte rodoviário
PNVL3;Dimed;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
PNVL4;Dimed;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
BKBR3;Bk Brasil;Ação;Consumo cíclico;Hotéis e restaurantes;Restaurante e similares
BMGB4;Banco BMG;Ação;Financeiro;Intermediários financeiros;Bancos
CEBR3;Ceb;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CEBR5;Ceb;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CEBR6;Ceb;Ação;Utilidade pública;Energia elétrica;Energia elétrica
SMLS3;Smiles;Ação;Consumo cíclico;Diversos;Programas de fidelização
CURY3;Cury S/A;Ação;Consumo cíclico;Construção civil;Incorporações
PARD3;Ihpardini;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
ELMD3;Eletromidia;Ação;Comunicações;Mídia;Publicidade e propaganda
CLSC4;Celesc;Ação;Utilidade pública;Energia elétrica;Energia elétrica
JALL3;Jallesmachad;Ação;Consumo não cíclico;Alimentos processados;Açúcar e álcool
JPSA3;Jereissati;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
FRAS3;Fras-Le;Ação;Bens industriais;Material de transporte;Material rodoviário
MYPK3;Iochp-Maxion;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
MOSI3;Mosaico SA;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
POMO3;Marcopolo;Ação;Bens industriais;Material de transporte;Material rodoviário
POMO4;Marcopolo;Ação;Bens industriais;Material de transporte;Material rodoviário
SCAR3;Sao Carlos;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
EVEN3;Even;Ação;Consumo cíclico;Construção civil;Incorporações
RANI3;Irani;Ação;Materiais básicos;Madeira e papel;Papel e celulose
ROMI3;Inds Romi;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
PTBL3;Portobello;Ação;Bens industriais;Construção e engenharia;Produtos para construção
ENJU3;Enjoei;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
CRPG5;Cristal;Ação;Materiais básicos;Químicos;Químicos diversos
CRPG6;Cristal;Ação;Materiais básicos;Químicos;Químicos diversos
LOGN3;Log-In;Ação;Bens industriais;Transporte;Transporte hidroviário
DIRR3;Direcional;Ação;Consumo cíclico;Construção civil;Incorporações
BMOB3;Bemobi Tech;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
OFSA3;Ourofino S/A;Ação;Saúde;Medicamentos e outros produtos;Medicamentos e outros produtos
SEER3;Ser Educa;Ação;Consumo cíclico;Diversos;Serviços educacionais
MILS3;Mills;Ação;Bens industriais;Construção e engenharia;Serviços diversos
AMAR3;Lojas Marisa;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
CCPR3;Cyre Com-Ccp;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
POSI3;Positivo Tec;Ação;Tecnologia da informação;Computadores e equipamentos;Computadores e equipamentos
SHUL4;Schulz;Ação;Bens industriais;Máquinas e equipamentos;Motores compressores e outros
ORVR3;Orizon;Ação;Utilidade pública;Água e saneamento;Água e saneamento
SOJA3;Boa Safra;Ação;Consumo não cíclico;Agropecuária;Agricultura
MBLY3;Mobly;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
LAVV3;Lavvi;Ação;Consumo cíclico;Construção civil;Incorporações
DOTZ3;Dotz SA;Ação;Consumo cíclico;Diversos;Programas de fidelização
BEES3;Banestes;Ação;Financeiro;Intermediários financeiros;Bancos
HBRE3;Hbr Realty;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
FHER3;Fer Heringer;Ação;Materiais básicos;Químicos;Fertilizantes e defensivos
OPCT3;Oceanpact;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Equipamentos e serviços
ALLD3;Allied;Ação;Consumo cíclico;Comércio;Eletrodomésticos
ETER3;Eternit;Ação;Bens industriais;Construção e engenharia;Produtos para construção
SQIA3;Sinqia;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
DOHL4;Dohler;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
ALPK3;Estapar;Ação;Bens industriais;Serviços diversos;Serviços diversos
