Ticker;Name;Country;Type;Sector;Sub Sector;Segment
A;Agilent Technologies Inc. Common Stock;United States;;Capital Goods;;Electrical Products
AA;Alcoa Corporation Common Stock ;;;Basic Industries;;Metal Fabrications
AAC;Ares Acquisition Corporation Class A Ordinary Shares;;;Finance;;Business Services
AACG;ATA Creativity Global American Depositary Shares;China;;Miscellaneous;;Service to the Health Industry
AACQ;Artius Acquisition Inc. Class A Common Stock;United States;;Finance;;Business Services
AACQU;Artius Acquisition Inc. Unit ;United States;;Basic Industries;;Major Chemicals
AACQW;Artius Acquisition Inc Warrant;United States;;Basic Industries;;Major Chemicals
AAIC;Arlington Asset Investment Corp Class A (new);United States;;Finance;;Finance/Investors Services
AAIC^B;Arlington Asset Investment Corp 7.00% ;United States;;;;
AAIC^C;Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ;United States;;;;
AAL;American Airlines Group Inc. Common Stock;United States;;Transportation;;Air Freight/Delivery Services
AAMC;Altisource Asset Management Corp Com;United States;;Finance;;Investment Managers
AAME;Atlantic American Corporation Common Stock;United States;;Finance;;Life Insurance
AAN;Aarons Holdings Company Inc. Common Stock ;United States;;Miscellaneous;;Diversified Commercial Services
AAOI;Applied Optoelectronics Inc. Common Stock;United States;;Technology;;Semiconductors
AAON;AAON Inc. Common Stock;United States;;Capital Goods;;Industrial Machinery/Components
AAP;Advance Auto Parts Inc Advance Auto Parts Inc W/I;United States;;Consumer Services;;Other Specialty Stores
AAPL;Apple Inc. Common Stock;United States;;Technology;;Computer Manufacturing
AAQC;Accelerate Acquisition Corp. Class A Common Stock;;;Finance;;Business Services
AAT;American Assets Trust Inc. Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AAU;Almaden Minerals Ltd. Common Shares;Canada;;Basic Industries;;Precious Metals
AAWW;Atlas Air Worldwide Holdings NEW Common Stock;United States;;Transportation;;Transportation Services
AB;AllianceBernstein Holding L.P.  Units;United States;;Finance;;Investment Managers
ABB;ABB Ltd Common Stock;Switzerland;;Consumer Durables;;Electrical Products
ABBV;AbbVie Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
